2026-01-19 21:53:14,331 - INFO - Database schema created/verified at ingredients.db
2026-01-19 21:53:14,333 - INFO - Found 250 ingredients in CSV file
2026-01-19 21:53:14,334 - INFO - Processing 1/250: Apple
2026-01-19 21:53:14,334 - INFO - Searching for: Apple
2026-01-19 21:53:15,887 - INFO - Found: APPLE (FDC ID: 454004)
2026-01-19 21:53:17,012 - ERROR - Error processing CSV file: OperationalError - 44 values for 45 columns
2026-01-19 21:54:30,813 - WARNING - Row 170: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 171: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 172: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 173: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 174: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 175: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 176: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 177: Empty ingredient name, skipping
2026-01-19 21:54:30,813 - WARNING - Row 178: Empty ingredient name, skipping
2026-01-19 21:54:30,814 - WARNING - Row 179: Empty ingredient name, skipping
2026-01-19 21:54:30,814 - WARNING - Row 180: Empty ingredient name, skipping
2026-01-19 21:54:30,814 - WARNING - Row 181: Empty ingredient name, skipping
2026-01-19 21:54:30,814 - WARNING - Row 182: Empty ingredient name, skipping
2026-01-19 21:54:30,814 - WARNING - Row 183: Empty ingredient name, skipping
2026-01-19 21:54:30,814 - WARNING - Row 184: Empty ingredient name, skipping
2026-01-19 21:54:30,814 - WARNING - Row 185: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 186: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 187: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 188: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 189: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 190: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 191: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 192: Empty ingredient name, skipping
2026-01-19 21:54:30,815 - WARNING - Row 193: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 194: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 195: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 196: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 197: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 198: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 199: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 200: Empty ingredient name, skipping
2026-01-19 21:54:30,816 - WARNING - Row 201: Empty ingredient name, skipping
2026-01-19 21:54:30,817 - WARNING - Row 202: Empty ingredient name, skipping
2026-01-19 21:54:30,817 - WARNING - Row 203: Empty ingredient name, skipping
2026-01-19 21:54:30,817 - WARNING - Row 204: Empty ingredient name, skipping
2026-01-19 21:54:30,817 - WARNING - Row 205: Empty ingredient name, skipping
2026-01-19 21:54:30,817 - WARNING - Row 206: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 207: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 208: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 209: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 210: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 211: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 212: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 213: Empty ingredient name, skipping
2026-01-19 21:54:30,818 - WARNING - Row 214: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 215: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 216: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 217: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 218: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 219: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 220: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 221: Empty ingredient name, skipping
2026-01-19 21:54:30,819 - WARNING - Row 222: Empty ingredient name, skipping
2026-01-19 21:54:30,820 - WARNING - Row 223: Empty ingredient name, skipping
2026-01-19 21:54:30,820 - WARNING - Row 224: Empty ingredient name, skipping
2026-01-19 21:54:30,820 - WARNING - Row 225: Empty ingredient name, skipping
2026-01-19 21:54:30,820 - WARNING - Row 226: Empty ingredient name, skipping
2026-01-19 21:54:30,820 - WARNING - Row 227: Empty ingredient name, skipping
2026-01-19 21:54:30,820 - WARNING - Row 228: Empty ingredient name, skipping
2026-01-19 21:54:30,820 - WARNING - Row 229: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 230: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 231: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 232: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 233: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 234: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 235: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 236: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 237: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 238: Empty ingredient name, skipping
2026-01-19 21:54:30,821 - WARNING - Row 239: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 240: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 241: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 242: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 243: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 244: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 245: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 246: Empty ingredient name, skipping
2026-01-19 21:54:30,822 - WARNING - Row 247: Empty ingredient name, skipping
2026-01-19 21:54:30,823 - WARNING - Row 248: Empty ingredient name, skipping
2026-01-19 21:54:30,823 - WARNING - Row 249: Empty ingredient name, skipping
2026-01-19 21:54:30,823 - INFO - Successfully processed 249 ingredients
2026-01-19 21:58:26,128 - INFO - Database schema created/verified at ingredients.db
2026-01-19 21:58:26,138 - INFO - Found 248 ingredients in CSV file
2026-01-19 21:58:26,138 - WARNING - Row 1: Empty ingredient name, skipping
2026-01-19 21:58:26,138 - WARNING - Row 2: Empty ingredient name, skipping
2026-01-19 21:58:26,138 - WARNING - Row 3: Empty ingredient name, skipping
2026-01-19 21:58:26,138 - WARNING - Row 4: Empty ingredient name, skipping
2026-01-19 21:58:26,139 - WARNING - Row 5: Empty ingredient name, skipping
2026-01-19 21:58:26,139 - WARNING - Row 6: Empty ingredient name, skipping
2026-01-19 21:58:26,139 - WARNING - Row 7: Empty ingredient name, skipping
2026-01-19 21:58:26,139 - WARNING - Row 8: Empty ingredient name, skipping
2026-01-19 21:58:26,139 - WARNING - Row 9: Empty ingredient name, skipping
2026-01-19 21:58:26,139 - WARNING - Row 10: Empty ingredient name, skipping
2026-01-19 21:58:26,139 - WARNING - Row 11: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 12: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 13: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 14: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 15: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 16: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 17: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 18: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 19: Empty ingredient name, skipping
2026-01-19 21:58:26,140 - WARNING - Row 20: Empty ingredient name, skipping
2026-01-19 21:58:26,141 - WARNING - Row 21: Empty ingredient name, skipping
2026-01-19 21:58:26,141 - WARNING - Row 22: Empty ingredient name, skipping
2026-01-19 21:58:26,141 - WARNING - Row 23: Empty ingredient name, skipping
2026-01-19 21:58:26,141 - WARNING - Row 24: Empty ingredient name, skipping
2026-01-19 21:58:26,141 - WARNING - Row 25: Empty ingredient name, skipping
2026-01-19 21:58:26,141 - WARNING - Row 26: Empty ingredient name, skipping
